AE,0x00C6,True
AEacute,0x01FC,True
Cacute,0x0106,True
Ccircumflex,0x0108,True
Cdotaccent,0x010A,True
Ccaron,0x010C,True
Ccedilla,0x00C7,True
Dcaron,0x010E,True
Dcroat,0x0110,False
Eth,0x00D0,True
Egrave,0x00C8,True
Eacute,0x00C9,True
Ecircumflex,0x00CA,True
Emacron,0x0112,True
Ebreve,0x0114,True
Edotaccent,0x0116,True
Edieresis,0x00CB,True
Ecaron,0x011A,True
Eogonek,0x0118,True
Ecircumflexacute,0x1EBE,True
Ecircumflexdotbelow,0x1EC6,True
Ecircumflexgrave,0x1EC0,True
Ecircumflexhookabove,0x1EC2,True
Ecircumflextilde,0x1EC4,True
Ehookabove,0x1EBA,True
Etilde,0x1EBC,True
Edotbelow,0x1EB8,True
Gcircumflex,0x011C,True
Gbreve,0x011E,True
Gdotaccent,0x0120,True
Gcommaaccent,0x0122,True
Hcircumflex,0x0124,True
Hbar,0x0126,True
Igrave,0x00CC,True
Iacute,0x00CD,True
Icircumflex,0x00CE,True
Itilde,0x0128,True
Imacron,0x012A,True
Ibreve,0x012C,True
Idotaccent,0x0130,True
Idieresis,0x00CF,True
Iogonek,0x012E,True
Ihookabove,0x1EC8,True
Idotbelow,0x1ECA,True
IJ,0x0132,True
Iacute_J.NLD,,True
Jacute,0xFC001,True
Jcircumflex,0x0134,True
Kcommaaccent,0x0136,True
Lacute,0x0139,True
Lcommaaccent,0x013B,True
Lcaron,0x013D,True
Ldot,0x013F,True
Lslash,0x0141,True
Nacute,0x0143,True
Ntilde,0x00D1,True
Ncaron,0x0147,True
Eng,0x014A,True
Ncommaaccent,0x0145,True
Ograve,0x00D2,True
Oacute,0x00D3,True
Ocircumflex,0x00D4,True
Otilde,0x00D5,True
Omacron,0x014C,True
Obreve,0x014E,True
Odieresis,0x00D6,True
Ohungarumlaut,0x0150,True
Oslash,0x00D8,True
Oslashacute,0x01FE,True
Ocircumflexacute,0x1ED0,True
Ocircumflexdotbelow,0x1ED8,True
Ocircumflexgrave,0x1ED2,True
Ocircumflexhookabove,0x1ED4,True
Ocircumflextilde,0x1ED6,True
Ohookabove,0x1ECE,True
Ohorn,0x01A0,True
Ohornacute,0x1EDA,True
Ohorndotbelow,0x1EE2,True
Ohorngrave,0x1EDC,True
Ohornhookabove,0x1EDE,True
Ohorntilde,0x1EE0,True
Odotbelow,0x1ECC,True
OE,0x0152,True
Racute,0x0154,True
Rcaron,0x0158,True
Rcommaaccent,0x0156,True
Sacute,0x015A,True
Scircumflex,0x015C,True
Scaron,0x0160,True
Scommaaccent,0x0218,True
Scedilla,0x015E,True
Germandbls,0x1E9E,True
Tcaron,0x0164,True
Tcommaaccent,0x021A,True
Tcedilla,0x0162,True
Tbar,0x0166,True
Ugrave,0x00D9,True
Uacute,0x00DA,True
Ucircumflex,0x00DB,True
Utilde,0x0168,True
Umacron,0x016A,True
Ubreve,0x016C,True
Udieresis,0x00DC,True
Uring,0x016E,True
Uhungarumlaut,0x0170,True
Uogonek,0x0172,True
Uhookabove,0x1EE6,True
Uhorn,0x01AF,True
Uhornacute,0x1EE8,True
Uhorndotbelow,0x1EF0,True
Uhorngrave,0x1EEA,True
Uhornhookabove,0x1EEC,True
Uhorntilde,0x1EEE,True
Udotbelow,0x1EE4,True
Wgrave,0x1E80,True
Wacute,0x1E82,True
Wcircumflex,0x0174,True
Wdieresis,0x1E84,True
Ygrave,0x1EF2,True
Yacute,0x00DD,True
Ycircumflex,0x0176,True
Ydieresis,0x0178,True
Yhookabove,0x1EF6,True
Ydotbelow,0x1EF4,True
Ytilde,0x1EF8,True
Zacute,0x0179,True
Zdotaccent,0x017B,True
Zcaron,0x017D,True
Thorn,0x00DE,True
Schwa,0x018F,True
Abreveinverted,0x0202,True
Adblgrave,0x0200,True
Ebreveinverted,0x0206,True
Edblgrave,0x0204,True
Gcaron,0x01E6,True
Ibreveinverted,0x020A,True
Idblgrave,0x0208,True
Obreveinverted,0x020E,True
Odblgrave,0x020C,True
